Talkers,Noise,F1,F2,F3
AS3,NC,529.35,1662.61,2765.275922330097
AS3,NC,607.33,1664.07,2674.52576
AS3,NC,602.42,1622.63,2662.074672131148
AS3,NC,438.54,1756.16,2796.422916666667
AS3,NC,476.47,1627.89,2707.26380952381
AS3,NC,440.79,1717.62,2755.566153846154
AS3,NC,329.16,2325.91,3049.468965517241
AS3,NC,463.0,1600.17,2825.76901734104
AS3,NC,561.6,1543.14,2813.556989795918
AS3,NC,440.2,1798.62,2885.133548387096
AS3,NC,467.27,1574.57,2658.172911392405
AS3,NC,580.99,1563.35,2668.075632183908
AS3,NC,414.08,1689.13,2659.026190476191
AS3,NC,504.35,1681.92,2691.1925819672133
AS3,NC,496.63,1634.77,2754.3793006993005
AS3,NC,463.85,1550.91,2783.608888888889
AS3,NC,519.27,1676.43,2772.8204848484847
AS3,NC,366.8,1797.48,2679.3080769230774
AS3,NC,495.83,1616.24,2579.358375
AS3,NC,558.49,1647.67,2772.5432142857144
AS3,NC,480.38,1800.36,2911.63075
AS3,NC,501.79,1315.05,2651.066808510638
AS3,NC,624.1,1596.1,2756.432168674699
AS3,NC,456.62,1601.96,2837.6432286995514
AS3,NC,517.64,1737.15,2706.0840495867774
AS3,NC,440.05,1393.93,2610.7406666666666
AS3,NC,541.13,1449.05,2703.6849999999995
AS3,NC,607.1,1677.38,2790.485757575758
AS3,NC,483.52,1877.37,2988.148666666667
AS3,NC,469.74,1509.03,2714.2451239669417
AS3,NC,632.03,1798.19,2899.6463846153842
AS3,NC,421.98,1816.68,2820.052672413793
AS3,NC,380.99,1789.02,2904.2672173913047
AS3,NC,426.23,1543.6,2653.9390579710143
AS3,NC,484.04,1537.03,2765.6661599999998
AS3,NC,502.47,1776.96,2769.568849557522
AS3,NC,574.06,1900.37,3030.226307692308
AS3,NC,438.73,1979.02,2751.134220183486
AS3,NC,502.99,1892.15,2814.868068181818
AS3,NC,388.17,1529.06,2716.7925964912283
AS3,NC,661.07,1550.45,2713.1026229508193
AS3,NC,481.42,1841.73,2719.6852808988765
AS3,NC,382.15,1687.81,2670.26908045977
