Talker,Noise,f0_median
AS1,SSN,197.7
AS1,SSN,209.88
AS1,SSN,249.52
AS1,SSN,202.88
AS1,SSN,203.12
AS1,SSN,228.93
AS1,SSN,218.65
AS1,SSN,198.08
AS1,SSN,259.65
AS1,SSN,214.22
AS1,SSN,214.37
AS1,SSN,204.37
AS1,SSN,209.2
AS1,SSN,222.6
AS1,SSN,221.08
AS1,SSN,197.98
AS1,SSN,198.71
AS1,SSN,222.91
AS1,SSN,227.17
AS1,SSN,188.81
AS1,SSN,225.5
AS1,SSN,223.62
AS1,SSN,179.14
AS1,SSN,244.1
AS1,SSN,218.51
AS1,SSN,196.47
AS1,SSN,251.06
AS1,SSN,237.03
AS1,SSN,224.45
AS1,SSN,203.44
AS1,SSN,241.15
AS1,SSN,227.18
AS1,SSN,222.45
AS1,SSN,218.63
AS1,SSN,206.06
AS1,SSN,212.48
AS1,SSN,218.98
AS1,SSN,224.57
AS1,SSN,233.16
AS1,SSN,202.54
AS1,SSN,271.4
AS1,SSN,198.91
AS1,SSN,187.68
AS1,SSN,220.86
AS1,SSN,188.38
AS1,SSN,217.6
AS2,SSN,137.93
AS2,SSN,155.5
AS2,SSN,174.52
AS2,SSN,134.36
AS2,SSN,127.72
AS2,SSN,142.2
AS2,SSN,166.07
AS2,SSN,189.41
AS2,SSN,142.08
AS2,SSN,128.99
AS2,SSN,141.62
AS2,SSN,154.07
AS2,SSN,137.88
AS2,SSN,146.8
AS2,SSN,141.38
AS2,SSN,138.86
AS2,SSN,143.86
AS2,SSN,142.22
AS2,SSN,145.2
AS2,SSN,172.98
AS2,SSN,155.82
AS2,SSN,164.44
AS2,SSN,174.26
AS2,SSN,147.08
AS2,SSN,122.4
AS2,SSN,139.21
AS2,SSN,137.06
AS2,SSN,132.91
AS2,SSN,128.08
AS2,SSN,132.02
AS2,SSN,131.8
AS2,SSN,165.19
AS2,SSN,146.04
AS2,SSN,150.04
AS2,SSN,143.62
AS2,SSN,150.0
AS2,SSN,136.8
AS2,SSN,149.86
AS2,SSN,149.32
AS2,SSN,154.2
AS2,SSN,168.82
AS2,SSN,152.92
AS2,SSN,149.19
AS2,SSN,149.37
AS2,SSN,141.7
AS2,SSN,150.33
AS2,SSN,139.68
AS2,SSN,162.12
AS2,SSN,150.68
AS2,SSN,137.53
AS2,SSN,141.19
AS2,SSN,149.16
AS2,SSN,128.58
AS2,SSN,133.11
AS2,SSN,125.8
AS2,SSN,149.1
AS2,SSN,129.57
AS2,SSN,131.23
AS2,SSN,136.22
AS2,SSN,118.09
AS2,SSN,138.22
AS2,SSN,152.12
AS2,SSN,143.54
AS2,SSN,140.47
AS2,SSN,155.38
AS2,SSN,175.15
AS2,SSN,149.06
AS2,SSN,165.18
AS2,SSN,143.34
AS2,SSN,165.03
AS2,SSN,152.9
AS2,SSN,135.26
AS2,SSN,141.12
AS2,SSN,165.63
AS2,SSN,138.7
AS2,SSN,196.97
AS2,SSN,149.03
AS2,SSN,149.58
AS2,SSN,149.71
AS2,SSN,161.99
AS2,SSN,149.32
AS2,SSN,133.41
AS2,SSN,146.41
AS2,SSN,117.0
AS2,SSN,155.04
AS2,SSN,159.6
AS2,SSN,165.49
AS2,SSN,154.5
AS2,SSN,145.74
AS2,SSN,163.43
AS2,SSN,148.38
AS2,SSN,146.35
AS2,SSN,131.06
AS2,SSN,130.47
AS2,SSN,143.3
AS2,SSN,150.98
AS2,SSN,127.7
AS3,SSN,202.74
AS3,SSN,207.8
AS3,SSN,195.74
AS3,SSN,169.16
AS3,SSN,194.77
AS3,SSN,191.18
AS3,SSN,203.02
AS3,SSN,192.41
AS3,SSN,186.32
AS3,SSN,182.23
AS3,SSN,174.14
AS3,SSN,189.96
AS3,SSN,176.53
AS3,SSN,177.4
AS3,SSN,203.5
AS3,SSN,203.32
AS3,SSN,151.74
AS3,SSN,181.09
AS3,SSN,213.67
AS3,SSN,193.26
AS3,SSN,194.45
AS3,SSN,161.19
AS3,SSN,197.3
AS3,SSN,191.37
AS3,SSN,205.54
AS3,SSN,209.68
AS3,SSN,199.94
AS3,SSN,211.2
AS3,SSN,191.41
AS3,SSN,172.05
AS3,SSN,216.75
AS3,SSN,207.93
AS3,SSN,173.12
AS3,SSN,202.72
AS3,SSN,211.28
AS3,SSN,201.54
AS3,SSN,198.25
AS3,SSN,192.56
AS3,SSN,195.41
AS3,SSN,167.95
AS3,SSN,189.44
AS3,SSN,221.96
AS3,SSN,191.44
AS3,SSN,189.16
AS3,SSN,181.19
AS3,SSN,200.47
AS3,SSN,223.83
AS3,SSN,209.29
AS3,SSN,200.56
AS3,SSN,184.78
AS3,SSN,200.54
AS3,SSN,192.95
AS3,SSN,184.24
AS3,SSN,201.87
AS3,SSN,214.72
AS3,SSN,191.56
AS3,SSN,222.5
AS3,SSN,198.98
AS3,SSN,186.25
AS3,SSN,222.85
AS3,SSN,219.24
AS3,SSN,191.43
AS3,SSN,177.06
AS3,SSN,148.75
AS3,SSN,185.64
AS3,SSN,197.18
AS3,SSN,228.53
AS3,SSN,177.52
AS3,SSN,187.1
AS3,SSN,196.27
AS3,SSN,183.32
AS3,SSN,180.64
AS3,SSN,190.54
AS3,SSN,212.86
AS3,SSN,186.86
AS3,SSN,202.03
AS3,SSN,190.16
AS3,SSN,178.6
AS3,SSN,200.29
AS3,SSN,198.36
AS3,SSN,174.86
AS3,SSN,164.7
AS3,SSN,221.2
AS3,SSN,193.72
AS3,SSN,210.6
AS3,SSN,167.78
AS3,SSN,181.74
AS3,SSN,190.55
AS3,SSN,210.89
AS4,SSN,230.77
AS4,SSN,232.37
AS4,SSN,218.03
AS4,SSN,234.39
AS4,SSN,236.58
AS4,SSN,220.3
AS4,SSN,224.83
AS4,SSN,220.16
AS4,SSN,186.15
AS4,SSN,223.28
AS4,SSN,255.55
AS4,SSN,209.53
AS4,SSN,197.21
AS4,SSN,249.46
AS4,SSN,237.43
AS4,SSN,235.42
AS4,SSN,222.86
AS4,SSN,209.44
AS4,SSN,249.74
AS4,SSN,235.32
AS4,SSN,251.1
AS4,SSN,246.24
AS4,SSN,233.27
AS4,SSN,241.28
AS4,SSN,185.76
AS4,SSN,231.95
AS4,SSN,224.66
AS4,SSN,220.48
AS4,SSN,232.1
AS4,SSN,220.02
AS4,SSN,219.72
AS4,SSN,219.61
AS4,SSN,230.54
AS4,SSN,217.44
AS4,SSN,224.68
AS4,SSN,226.15
AS4,SSN,201.07
AS4,SSN,228.86
AS4,SSN,247.9
AS4,SSN,218.4
AS4,SSN,201.94
AS4,SSN,211.2
AS4,SSN,243.3
AS4,SSN,219.29
AS4,SSN,224.63
AS4,SSN,243.51
AS4,SSN,219.92
AS4,SSN,196.58
AS4,SSN,233.62
AS4,SSN,218.68
AS4,SSN,225.25
AS4,SSN,227.21
AS4,SSN,202.92
AS4,SSN,212.82
AS4,SSN,235.32
AS4,SSN,213.82
AS4,SSN,228.71
AS4,SSN,246.22
AS4,SSN,225.42
AS4,SSN,231.8
AS4,SSN,240.54
AS4,SSN,220.86
AS4,SSN,192.56
