Talkers,Noise,F1,F2,F3
C2,SSN,399.95,1373.98,2327.0884592145017
C2,SSN,467.05,1373.08,2377.939732824427
C2,SSN,381.69,1583.98,2495.4488025889964
C2,SSN,450.15,1315.48,2322.1854210526317
C2,SSN,417.69,1323.43,2342.70559602649
C2,SSN,429.5,1436.51,2413.289135802469
C2,SSN,396.69,1327.4,2288.1497
C2,SSN,449.57,1510.04,2421.760789473684
C2,SSN,423.48,1373.29,2414.8762809917353
C2,SSN,433.06,1471.91,2426.0557419354836
C2,SSN,447.89,1375.99,2240.394333333333
C2,SSN,459.01,1489.72,2375.2863909774437
C2,SSN,449.62,1416.25,2346.824696969697
C2,SSN,437.87,1445.92,2418.4088590604024
C2,SSN,520.16,1389.7,2394.7587671232877
C2,SSN,436.34,1376.27,2451.985137931035
C2,SSN,463.91,1404.03,2406.1271124620057
C2,SSN,404.67,1495.79,2376.119234972678
C2,SSN,470.27,1183.02,2224.8020987654318
C2,SSN,410.13,1365.14,2288.6573563218394
C2,SSN,434.35,1423.42,2435.6849470899474
C2,SSN,401.01,1296.0,2309.241363636364
C2,SSN,429.44,1286.12,2427.5901013513517
C2,SSN,396.3,1275.51,2293.1954545454546
C2,SSN,462.02,1548.29,2407.3941904761905
C2,SSN,535.85,1160.69,2542.5966129032263
C2,SSN,401.95,1535.35,2377.4734710743805
C2,SSN,452.94,1250.98,2410.1190055248617
C2,SSN,420.57,1359.72,2339.906344827586
C2,SSN,438.12,1360.28,2336.285019011407
C2,SSN,484.01,1262.89,2327.849913793103
C2,SSN,431.68,1347.08,2303.1830322580645
C2,SSN,446.52,1080.27,2278.1342045454544
C2,SSN,477.86,1175.48,2339.5554901960786
C2,SSN,439.21,1378.2,2355.5085304659497
C2,SSN,467.19,1371.78,2338.4634343434345
C2,SSN,410.32,1506.44,2423.617564102564
C2,SSN,417.34,1285.23,2367.948851674641
C2,SSN,378.73,1455.31,2361.7109478672987
C2,SSN,437.86,1345.54,2364.6956372549016
C2,SSN,462.81,1333.88,2413.72
C2,SSN,455.54,1369.92,2480.0338675958187
C2,SSN,440.65,1343.03,2219.497096774194
C2,SSN,409.11,1316.47,2331.2264539007097
C2,SSN,465.35,1262.73,2319.284529262087
